Helsinki-NLP/opus-mt-ur-en,512,None,2569
tiedeman/opus-mt-he-en,512,None,2462
Helsinki-NLP/opus-mt-en-et,512,None,2419
Helsinki-NLP/opus-mt-ko-en,512,None,2330
Helsinki-NLP/opus-mt-en-ar,512,None,2145
Helsinki-NLP/opus-mt-uk-en,512,None,2128
Helsinki-NLP/opus-mt-bg-en,512,None,2074
Helsinki-NLP/opus-mt-ar-fr,512,None,1469
Helsinki-NLP/opus-mt-ca-en,512,None,1467
Helsinki-NLP/opus-mt-ml-en,512,None,1465
Helsinki-NLP/opus-mt-ka-en,512,None,1462
Helsinki-NLP/opus-mt-az-en,512,None,1411
Helsinki-NLP/opus-mt-en-hi,512,None,1346
Helsinki-NLP/opus-mt-hu-en,512,None,1274
Helsinki-NLP/opus-mt-sk-en,512,None,1230
Helsinki-NLP/opus-mt-hy-en,512,None,1169
Helsinki-NLP/opus-mt-it-es,512,None,1149
Helsinki-NLP/opus-mt-mr-en,512,None,1070
google/bert2bert_L-24_wmt_de_en,128,None,937
Helsinki-NLP/opus-mt-mt-en,512,None,924
Helsinki-NLP/opus-mt-sq-en,512,None,870
Helsinki-NLP/opus-mt-bn-en,512,None,798
Helsinki-NLP/opus-mt-es-de,512,None,723
Helsinki-NLP/opus-mt-ru-uk,512,None,718
Helsinki-NLP/opus-mt-fr-de,512,None,684
salesken/translation-hi-en,512,None,671
Helsinki-NLP/opus-mt-de-fr,512,None,668
Helsinki-NLP/opus-mt-en-roa,512,None,644
Helsinki-NLP/opus-mt-de-es,512,None,636
Helsinki-NLP/opus-mt-en-sk,512,None,565
Helsinki-NLP/opus-mt-en-vi,512,None,558
Helsinki-NLP/opus-mt-en-jap,512,None,538
Helsinki-NLP/opus-mt-ha-en,512,None,513
Helsinki-NLP/opus-mt-en-sv,512,None,504
Helsinki-NLP/opus-mt-eo-en,512,None,501
Helsinki-NLP/opus-mt-roa-en,512,None,484
Helsinki-NLP/opus-mt-mk-en,512,None,483
Helsinki-NLP/opus-mt-el-fr,512,None,430
Helsinki-NLP/opus-mt-fr-el,512,None,417
Helsinki-NLP/opus-mt-ca-es,512,None,410
Helsinki-NLP/opus-mt-en-mul,512,None,395
Helsinki-NLP/opus-mt-eu-en,512,None,389
Helsinki-NLP/opus-mt-zh-de,512,None,384
Helsinki-NLP/opus-mt-en-id,512,None,378
Helsinki-NLP/opus-mt-swc-en,512,None,373
Helsinki-NLP/opus-mt-grk-en,512,None,355
Helsinki-NLP/opus-mt-tl-en,512,None,352
Helsinki-NLP/opus-mt-gem-en,512,None,351
liam168/trans-opus-mt-en-zh,512,None,350
Helsinki-NLP/opus-mt-ru-fr,512,None,342
Helsinki-NLP/opus-mt-pa-en,512,None,327
Helsinki-NLP/opus-mt-fr-es,512,None,321
Helsinki-NLP/opus-tatoeba-en-ja,512,None,316
Helsinki-NLP/opus-mt-es-fr,512,None,306
Helsinki-NLP/opus-mt-yo-en,512,None,303
Helsinki-NLP/opus-mt-af-en,512,None,298
Helsinki-NLP/opus-mt-it-de,512,None,297
Helsinki-NLP/opus-mt-en-da,512,None,283
ken11/mbart-ja-en,1024,None,272
Helsinki-NLP/opus-mt-de-ZH,512,None,268
Helsinki-NLP/opus-mt-en-el,512,None,263
Helsinki-NLP/opus-mt-es-ca,512,None,259
Helsinki-NLP/opus-mt-gl-en,512,None,257
Helsinki-NLP/opus-mt-fr-ru,512,None,247
Helsinki-NLP/opus-mt-cy-en,512,None,244
Lalita/marianmt-zh_cn-th,512,None,239
Helsinki-NLP/opus-mt-de-it,512,None,236
